· [1/4270] archivebuild.zip | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-16T18:18:20.4713167-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [2/4270] bindings\bindings.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T18:56:54.1463670-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [3/4270] bindings\build.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-16T19:42:50.8255162-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [4/4270] bindings\Cargo.toml | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-16T19:42:50.8209415-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [5/4270] bindings\ffi.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-16T19:42:50.8224542-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [6/4270] bindings\native_lib.c | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T19:03:33.1273948-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [7/4270] Cargo.lock | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:59:31.1266832-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [8/4270] Cargo.toml | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:55:02.7943065-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [9/4270] compiler\Cargo.toml | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-18T00:01:29.7571669-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [10/4270] compiler\compiler.yaml | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:59:04.2154962-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [11/4270] compiler\src\alignment.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4340421-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [12/4270] compiler\src\audit.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:20:06.9371018-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [13/4270] compiler\src\bin\oasm-scan.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T19:24:05.6961749-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [14/4270] compiler\src\conditional.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4309776-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [15/4270] compiler\src\constants.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4294443-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [16/4270] compiler\src\cross_asm.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:16:14.5759911-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [17/4270] compiler\src\directives.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4325061-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [18/4270] compiler\src\expr_eval.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:20:06.9470228-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [19/4270] compiler\src\expressions.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4248823-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [20/4270] compiler\src\inline_code.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:20:06.9388716-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [21/4270] compiler\src\labels.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4263970-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [22/4270] compiler\src\lib.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T19:24:03.4608717-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [23/4270] compiler\src\macro.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4207563-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [24/4270] compiler\src\multi_pass.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:20:06.9409066-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [25/4270] compiler\src\optimizer.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4233495-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [26/4270] compiler\src\reloc_viewer.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:20:06.9393770-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [27/4270] compiler\src\relocation.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4355696-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [28/4270] compiler\src\scanner.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-18T00:01:29.7556348-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [29/4270] compiler\src\storage.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:41:59.4279190-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [30/4270] compiler\src\structured_consts.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:20:06.9439609-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [31/4270] compiler\src\symbol_debug.rs | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T23:20:06.9424335-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [32/4270] COMPLETE_SYSTEM_SUMMARY.md | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T19:32:51.4883198-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [33/4270] config\oasm.default.yaml | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T19:04:51.7839816-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [34/4270] config\runtime.yaml | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T19:04:44.7538082-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
· [35/4270] cratemanifest.yaml | LOC=0 | fn=0(pub=0,unsafe=0) | Imports=0 | Logging: info=0 warn=0 error=0 println=0 | Structs=0 Enums=0 Derives=0 | Errors=None | Warnings=None | Tests=0 | Modified=2025-12-17T00:39:07.3548324-06:00 | CompileRoot=C:\Users\Administrator\Desktop\Projects\oasm
